date,entry_time,exit_time,direction,entry_price,exit_price,qty,r_pts,pnl_pts,pnl_R,pnl_usd,pnl_pct,duration_min,exit_reason,meta
2021-02-05,09:35,09:57,SHORT,3880.2500,3874.0000,1.00,6.2500,6.2500,1.0000,312.50,0.000000,22.00,target,strategy=b1b2;target_mult=1.;abr_prev=3.8125;b1_range=5.75;b2_follow=good
2021-02-10,09:35,10:15,SHORT,3920.0000,3913.7500,1.00,6.2500,6.2500,1.0000,312.50,0.000000,40.00,target,strategy=b1b2;target_mult=1.;abr_prev=2.96875;b1_range=5.75;b2_follow=poor
2021-02-26,09:35,09:47,SHORT,3837.5000,3849.7500,1.00,12.2500,-12.2500,-1.0000,-612.50,0.000000,12.00,stop,strategy=b1b2;target_mult=1.;abr_prev=11.625;b1_range=11.75;b2_follow=poor
2021-03-08,09:35,09:41,SHORT,3833.5000,3850.2500,1.00,16.7500,-16.7500,-1.0000,-837.50,0.000000,6.00,stop,strategy=b1b2;target_mult=1.;abr_prev=7.3125;b1_range=16.25;b2_follow=poor
2021-03-17,09:35,09:45,SHORT,3942.0000,3948.5000,1.00,6.5000,-6.5000,-1.0000,-325.00,0.000000,10.00,stop,strategy=b1b2;target_mult=1.;abr_prev=4.53125;b1_range=6.;b2_follow=poor
2021-03-18,09:39,09:46,LONG,3955.2500,3946.5000,1.00,8.7500,-8.7500,-1.0000,-437.50,0.000000,7.00,stop,strategy=b1b2;target_mult=1.;abr_prev=5.40625;b1_range=8.25;b2_follow=good
2021-03-29,09:35,09:44,LONG,3954.5000,3954.5000,1.00,7.5000,0.0000,0.0000,0.00,0.000000,9.00,stop,strategy=b1b2;target_mult=2.;abr_prev=6.5;b1_range=7.;b2_follow=good
2021-03-31,09:35,11:55,LONG,3963.0000,3976.5000,1.00,6.7500,13.5000,2.0000,675.00,0.000000,140.00,target,strategy=b1b2;target_mult=2.;abr_prev=5.5;b1_range=6.25;b2_follow=good
2021-04-09,09:45,11:55,LONG,4092.7500,4099.0000,1.00,6.2500,6.2500,1.0000,312.50,0.000000,130.00,target,strategy=b1b2;target_mult=1.;abr_prev=2.90625;b1_range=5.75;b2_follow=good
2021-04-16,09:43,10:01,SHORT,4170.7500,4162.7500,1.00,8.0000,8.0000,1.0000,400.00,0.000000,18.00,target,strategy=b1b2;target_mult=1.;abr_prev=3.3125;b1_range=7.5;b2_follow=poor
2021-05-13,09:35,09:54,LONG,4086.7500,4100.5000,1.00,13.7500,13.7500,1.0000,687.50,0.000000,19.00,target,strategy=b1b2;target_mult=1.;abr_prev=8.15625;b1_range=13.25;b2_follow=poor
2021-05-21,09:36,10:07,LONG,4178.2500,4178.2500,1.00,7.2500,0.0000,0.0000,0.00,0.000000,31.00,stop,strategy=b1b2;target_mult=2.;abr_prev=5.4375;b1_range=6.75;b2_follow=good
2021-05-31,09:35,09:53,SHORT,4195.5000,4195.5000,1.00,3.5000,0.0000,0.0000,0.00,0.000000,18.00,stop,strategy=b1b2;target_mult=2.;abr_prev=3.4375;b1_range=3.;b2_follow=good
2021-06-02,09:37,09:47,SHORT,4199.7500,4207.0000,1.00,7.2500,-7.2500,-1.0000,-362.50,0.000000,10.00,stop,strategy=b1b2;target_mult=1.;abr_prev=3.125;b1_range=6.75;b2_follow=good
2021-06-09,09:35,09:56,SHORT,4231.0000,4231.0000,1.00,4.2500,0.0000,0.0000,0.00,0.000000,21.00,stop,strategy=b1b2;target_mult=1.;abr_prev=2.0625;b1_range=3.75;b2_follow=good
2021-06-17,09:35,10:06,LONG,4228.2500,4218.2500,1.00,10.0000,-10.0000,-1.0000,-500.00,0.000000,31.00,stop,strategy=b1b2;target_mult=1.;abr_prev=4.28125;b1_range=9.5;b2_follow=good
2021-06-28,09:35,09:41,SHORT,4275.2500,4269.2500,1.00,3.0000,6.0000,2.0000,300.00,0.000000,6.00,target,strategy=b1b2;target_mult=2.;abr_prev=3.28125;b1_range=2.5;b2_follow=good
2021-06-29,09:35,12:43,LONG,4288.2500,4283.5000,1.00,4.7500,-4.7500,-1.0000,-237.50,0.000000,188.00,stop,strategy=b1b2;target_mult=1.;abr_prev=1.75;b1_range=4.25;b2_follow=good
2021-07-21,09:35,09:52,LONG,4332.5000,4339.2500,1.00,6.7500,6.7500,1.0000,337.50,0.000000,17.00,target,strategy=b1b2;target_mult=1.;abr_prev=4.09375;b1_range=6.25;b2_follow=good
2021-07-28,09:35,10:28,SHORT,4396.0000,4396.0000,1.00,7.2500,0.0000,0.0000,0.00,0.000000,53.00,stop,strategy=b1b2;target_mult=2.;abr_prev=5.65625;b1_range=6.75;b2_follow=good
2021-07-29,09:35,11:00,LONG,4411.2500,4420.2500,1.00,9.0000,9.0000,1.0000,450.00,0.000000,85.00,target,strategy=b1b2;target_mult=1.;abr_prev=3.71875;b1_range=8.5;b2_follow=good
2021-08-11,09:35,09:49,SHORT,4438.5000,4442.5000,1.00,4.0000,-4.0000,-1.0000,-200.00,0.000000,14.00,stop,strategy=b1b2;target_mult=1.;abr_prev=2.4375;b1_range=3.5;b2_follow=poor
2021-08-13,09:36,09:46,SHORT,4456.2500,4460.5000,1.00,4.2500,-4.2500,-1.0000,-212.50,0.000000,10.00,stop,strategy=b1b2;target_mult=1.;abr_prev=2.03125;b1_range=3.75;b2_follow=good
2021-08-24,09:35,09:45,SHORT,4478.0000,4483.7500,1.00,5.7500,-5.7500,-1.0000,-287.50,0.000000,10.00,stop,strategy=b1b2;target_mult=1.;abr_prev=2.59375;b1_range=5.25;b2_follow=poor
2021-08-26,09:35,09:36,LONG,4492.0000,4488.2500,1.00,3.7500,-3.7500,-1.0000,-187.50,0.000000,1.00,stop,strategy=b1b2;target_mult=2.;abr_prev=2.71875;b1_range=3.25;b2_follow=poor
2021-09-14,09:39,09:51,SHORT,4479.0000,4471.0000,1.00,8.0000,8.0000,1.0000,400.00,0.000000,12.00,target,strategy=b1b2;target_mult=1.;abr_prev=3.8125;b1_range=7.5;b2_follow=good
2021-10-01,09:35,10:02,SHORT,4307.0000,4307.0000,1.00,14.5000,0.0000,0.0000,0.00,0.000000,27.00,stop,strategy=b1b2;target_mult=1.;abr_prev=8.40625;b1_range=14.;b2_follow=good
2021-10-18,09:35,09:41,SHORT,4439.2500,4446.0000,1.00,6.7500,-6.7500,-1.0000,-337.50,0.000000,6.00,stop,strategy=b1b2;target_mult=1.;abr_prev=2.625;b1_range=6.25;b2_follow=poor
2021-10-25,09:36,09:40,SHORT,4540.7500,4533.2500,1.00,7.5000,7.5000,1.0000,375.00,0.000000,4.00,target,strategy=b1b2;target_mult=1.;abr_prev=3.71875;b1_range=7.;b2_follow=good
2021-10-28,09:45,10:38,LONG,4569.0000,4579.2500,1.00,10.2500,10.2500,1.0000,512.50,0.000000,53.00,target,strategy=b1b2;target_mult=1.;abr_prev=4.46875;b1_range=9.75;b2_follow=poor
